,car_name,registration_year,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),price(in lakhs)
72,2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Diesel,7,90000,Second Owner,Automatic,11.3,32.5
73,2017 Honda Jazz V CVT,17-Oct,Petrol,5,17000,First Owner,Automatic,17.1,5.95
74,2014 Hyundai Grand i10 AT Asta,14-Nov,Petrol,5,36047,First Owner,Automatic,18.9,4.32
75,2018 Maruti Wagon R CNG LXI,18-Feb,CNG,5,45000,First Owner,Manual,998,4.45
76,2009 Maruti Swift Dzire VDi,2009,Diesel,5,100000,First Owner,Manual,19.3,2
77,2016 Hyundai i10 Sportz,16-Jul,Petrol,5,50000,Second Owner,Manual,20.36,3.45
78,2018 Maruti Swift VXI,18-Aug,Petrol,5,51000,First Owner,Manual,22,5.5
79,2018 Mahindra XUV500 W5,18-Jul,Diesel,7,62000,Second Owner,Manual,2179,8.5
80,2023 Honda City ZX CVT,23-Mar,Petrol,5,10280,First Owner,Automatic,18.4,16
81,2015 Maruti Baleno 1.2 Alpha,15-Nov,Petrol,5,17282,First Owner,Manual,21.4,5.45
82,2019 Honda CR-V 2.0 CVT,19-Aug,Petrol,5,30500,First Owner,Automatic,14.4,22.95
83,2020 Kia Seltos HTX Plus Diesel,20-Sep,Diesel,5,60755,First Owner,Manual,20.8,13.51
84,2021 Mercedes-Benz C-Class Progressive C 200,21-Jul,Petrol,5,25000,Second Owner,Automatic,11.9,40.75
85,2018 Mahindra Scorpio S11,18-Aug,Diesel,7,47000,First Owner,Manual,15.4,14.5
86,2020 Kia Seltos GTX DCT,20-Jun,Petrol,5,59316,First Owner,Automatic,16.2,13.99
87,2021 Toyota Yaris J BSIV,21-Apr,Petrol,5,48000,Third Owner,Manual,17.1,6.95
88,2023 BMW 5 Series 530i M Sport BSVI,23-Nov,Petrol,5,20000,First Owner,Automatic,14.82,65
89,2020 Renault KWID Climber 1.0 AMT Opt,20-Dec,Petrol,5,12503,First Owner,Automatic,22,5.15
90,2021 Jeep Compass 1.4 Sport BSVI,21-Jun,Petrol,5,10000,First Owner,Manual,14.3,15.95
91,2011 Maruti Swift 1.2 VXi BSII,11-May,Petrol,5,73717,Second Owner,Manual,16.1,2.41
92,2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Diesel,7,90000,Second Owner,Automatic,11.3,32.5
93,2017 Honda Jazz V CVT,17-Oct,Petrol,5,17000,First Owner,Automatic,17.1,5.95
94,2014 Hyundai Grand i10 AT Asta,14-Nov,Petrol,5,36047,First Owner,Automatic,18.9,4.32
95,2018 Maruti Wagon R CNG LXI,18-Feb,CNG,5,45000,First Owner,Manual,998,4.45
96,2009 Maruti Swift Dzire VDi,2009,Diesel,5,100000,First Owner,Manual,19.3,2
97,2016 Hyundai i10 Sportz,16-Jul,Petrol,5,50000,Second Owner,Manual,20.36,3.45
98,2018 Maruti Swift VXI,18-Aug,Petrol,5,51000,First Owner,Manual,22,5.5
99,2018 Mahindra XUV500 W5,18-Jul,Diesel,7,62000,Second Owner,Manual,2179,8.5
100,2017 Toyota Camry 2.5 Hybrid,17-Jul,Petrol,5,45000,First Owner,Automatic,19.16,22.5
101,2021 Hyundai i20 Asta Opt Turbo DCT BSVI,21-Aug,Petrol,5,17041,First Owner,Automatic,20.28,10.49
102,2018 Mahindra XUV500 W6 1.99 mHawk,18-Nov,Diesel,7,49000,First Owner,Manual,16,9.25
103,2020 Hyundai Venue SX Turbo,20-Aug,Petrol,5,23588,First Owner,Manual,18.27,9.2
104,2018 Mercedes-Benz CLA Urban Sport 200d,18-Oct,Diesel,5,50000,Second Owner,Automatic,17.9,22
105,2017 Toyota Innova Crysta 2.8 GX AT BSIV,17-Mar,Diesel,7,76000,First Owner,Automatic,11.36,14.75
106,2019 Maruti Baleno Delta,19-May,Petrol,5,49341,First Owner,Manual,21.01,5.76
107,2013 Honda Amaze VX i-Vtech,13-May,Petrol,5,56000,First Owner,Manual,18,3.25
108,2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,23-May,Petrol,6,12000,First Owner,Automatic,12.34,21
109,2014 Honda City i VTEC V,14-Jul,Petrol,5,51734,First Owner,Manual,17.8,5.72
110,2018 Maruti Swift VXI,18-Jun,Petrol,5,22000,First Owner,Manual,22,5.75
111,2018 Hyundai Creta 1.6 SX Diesel,18-Aug,Diesel,5,45084,First Owner,Manual,20.5,9.22
112,2015 Mahindra Scorpio S10 AT 4WD,2015,Diesel,7,20000,First Owner,Automatic,15.4,11
113,2016 Honda Amaze S i-VTEC,16-Sep,Petrol,5,29000,First Owner,Manual,17.8,4.8
114,2021 Hyundai Venue SX Turbo,22-Jan,Petrol,5,16763,First Owner,Manual,18.27,9.69
115,2022 Tata Altroz XM plus BSVI,22-May,Petrol,5,6000,First Owner,Manual,19.33,6.95
116,2017 BMW 7 Series 730Ld M Sport,2017,Diesel,5,60000,2993 cc,2017,2993,55
117,2015 Mahindra XUV500 W4,15-Aug,Diesel,7,86000,First Owner,Manual,15.1,5.45
118,2018 Honda Jazz VX CVT,18-Jul,Petrol,5,24000,First Owner,Automatic,17.1,6.55
119,2021 Hyundai Venue S,21-Mar,Petrol,5,9000,First Owner,Manual,20.36,7.75
120,2017 Toyota Camry 2.5 Hybrid,17-Jul,Petrol,5,45000,First Owner,Automatic,19.16,22.5
121,2021 Hyundai i20 Asta Opt Turbo DCT BSVI,21-Aug,Petrol,5,17041,First Owner,Automatic,20.28,10.49
122,2018 Mahindra XUV500 W6 1.99 mHawk,18-Nov,Diesel,7,49000,First Owner,Manual,16,9.25
123,2020 Hyundai Venue SX Turbo,20-Aug,Petrol,5,23588,First Owner,Manual,18.27,9.2
124,2018 Mercedes-Benz CLA Urban Sport 200d,18-Oct,Diesel,5,50000,Second Owner,Automatic,17.9,22
125,2017 Toyota Innova Crysta 2.8 GX AT BSIV,17-Mar,Diesel,7,76000,First Owner,Automatic,11.36,14.75
126,2019 Maruti Baleno Delta,19-May,Petrol,5,49341,First Owner,Manual,21.01,5.76
127,2013 Honda Amaze VX i-Vtech,13-May,Petrol,5,56000,First Owner,Manual,18,3.25
128,2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,23-May,Petrol,6,12000,First Owner,Automatic,12.34,21
129,2014 Honda City i VTEC V,14-Jul,Petrol,5,51734,First Owner,Manual,17.8,5.72
130,2018 Maruti Swift VXI,18-Jun,Petrol,5,22000,First Owner,Manual,22,5.75
131,2018 Hyundai Creta 1.6 SX Diesel,18-Aug,Diesel,5,45084,First Owner,Manual,20.5,9.22
132,2015 Mahindra Scorpio S10 AT 4WD,2015,Diesel,7,20000,First Owner,Automatic,15.4,11
133,2016 Honda Amaze S i-VTEC,16-Sep,Petrol,5,29000,First Owner,Manual,17.8,4.8
134,2021 Hyundai Venue SX Turbo,22-Jan,Petrol,5,16763,First Owner,Manual,18.27,9.69
135,2022 Tata Altroz XM plus BSVI,22-May,Petrol,5,6000,First Owner,Manual,19.33,6.95
136,2017 BMW 7 Series 730Ld M Sport,2017,Diesel,5,60000,2993 cc,2017,2993,55
137,2015 Mahindra XUV500 W4,15-Aug,Diesel,7,86000,First Owner,Manual,15.1,5.45
138,2018 Honda Jazz VX CVT,18-Jul,Petrol,5,24000,First Owner,Automatic,17.1,6.55
139,2021 Hyundai Venue S,21-Mar,Petrol,5,9000,First Owner,Manual,20.36,7.75
140,2022 Kia Carens Prestige Plus Turbo DCT 2022-2023,22-Mar,Petrol,7,14900,First Owner,Automatic,16.5,16.5
141,2022 Hyundai i20 N-Line N8 DCT BSVI,22-Feb,Petrol,5,17172,Second Owner,Automatic,20.25,10.33
142,2020 Mercedes-Benz GLE 300d BSVI,20-Oct,Diesel,5,33000,First Owner,Automatic,1950,78
143,2016 Renault KWID RXT,16-Apr,Petrol,5,38000,Second Owner,Manual,25.17,1.85
144,2022 Tata Altroz XZ Plus BSVI,23-Sep,Petrol,5,11501,First Owner,Manual,19.33,8.24
145,2022 Mercedes-Benz GLE 300d BSVI,22-May,Diesel,5,43703,First Owner,Automatic,1950,82.9
146,2021 Toyota Fortuner Legender 4x2 AT,21-Dec,Diesel,7,29800,First Owner,Automatic,2755,44
147,2020 Maruti Baleno Zeta,20-Oct,Petrol,5,22051,First Owner,Manual,21.01,6.98
148,2021 Maruti Baleno Sigma,21-Nov,Petrol,5,32965,First Owner,Manual,1197,5.75
149,2014 Hyundai i10 Magna 1.1L,14-Dec,Petrol,5,96593,First Owner,Manual,1086,2.73
150,2017 Hyundai Verna 1.6 VTVT SX Option,2017,Petrol,5,50000,First Owner,Manual,17.01,6.75
151,2022 BMW 2 Series 220i M Sport Pro BSVI,22-Mar,Petrol,5,15000,First Owner,Automatic,14.82,42
152,2020 Tata Tiago XZ Plus Dual Tone Roof BSVI,20-Dec,Petrol,5,27138,First Owner,Manual,19.01,5.92
153,2022 Maruti Baleno 1.2 Delta,22-Jul,Petrol,5,15000,First Owner,Manual,21.4,7.25
154,2018 Mercedes-Benz CLS-Class 250 CDI,2018,Diesel,4,10000,First Owner,Automatic,19.4,38
155,2023 Mahindra Scorpio N Z8L AT BSVI,23-Jun,Petrol,7,9000,First Owner,Automatic,1997,23.45
156,2021 Kia Sonet HTX Plus Turbo iMT BSVI,21-Nov,Petrol,5,10000,First Owner,Manual,18.2,10.2
157,2020 Kia Seltos GTX Plus Diesel AT,20-Nov,Diesel,5,70000,First Owner,Automatic,18,14.95
158,2020 Mercedes-Benz C-Class Progressive C 220d,20-Jun,Diesel,5,30000,First Owner,Automatic,12.6,37.5
159,2021 Hyundai i20 N-Line N8 DCT BSVI,22-Feb,Petrol,5,16684,First Owner,Automatic,20.25,11.11
160,2019 Mercedes-Benz AMG C43 4MATIC Coupe,19-Jul,Petrol,5,30000,First Owner,Automatic,2996,67
161,2012 Maruti Swift LXI BSIV,12-Dec,Petrol,5,92543,First Owner,Manual,1197,2.74
162,2021 Mahindra XUV700 AX7 AT Luxury Pack BSVI,21-Nov,Petrol,7,25000,First Owner,Automatic,1999,24.75
163,2016 Ford Ecosport 1.5 Diesel Titanium Plus,16-Dec,Diesel,5,59870,First Owner,Manual,21.7,4.95
164,2016 Hyundai i20 Sportz 1.2,16-Jun,Petrol,5,62700,First Owner,Manual,18.6,5.22
165,2019 Kia Seltos HTX Plus AT D,19-Sep,Diesel,5,42132,First Owner,Automatic,17.8,14.75
166,2018 Mercedes-Benz CLA 200 CGI Sport,18-Jul,Petrol,5,32000,First Owner,Automatic,15.04,25.75
167,2010 Maruti A-Star Zxi,10-Jun,Petrol,5,58873,First Owner,Manual,19,1.82
